,Unnamed: 0.1,category,proportion,RECORDING_SESSION_LABEL,IA_DWELL_TIME,IA_REGRESSION_PATH_DURATION,IA_AVERAGE_FIX_PUPIL_SIZE,IA_REGRESSION_IN_COUNT,IA_REGRESSION_OUT_FULL_COUNT,word,story,anger,disgust,fear,joy,neutral,sadness,surprise,negative,neutral.1,positive,word_length,concreteness,valence_avg,valence_max,valence_min,arousal_avg,arousal_max,arousal_min,word_freq,Unnamed: 0,0,IA_DWELL_TIME_SMOOTHED,IA_REGRESSION_PATH_DURATION_SMOOTHED,IA_AVERAGE_FIX_PUPIL_SIZE_SMOOTHED,IA_REGRESSION_IN_COUNT_SMOOTHED,IA_REGRESSION_OUT_FULL_COUNT_SMOOTHED,engagement_score,tally
58,58.0,0,0.0,17.0,0.0,0.0,empty,0.0,0.0,4.0,SM,0.0138836074620485,0.8007259964942932,0.0138962632045149,0.0016570814186707,0.0836000367999076,0.0818541720509529,0.0043828608468174,0.0713344365358352,0.8159327507019043,0.1127328425645828,4.75,3.565,0.59,0.833,0.302,0.5303333333333333,0.708,0.373,22.609077762,58,The horses breathed hard.,82.66666666666666,234.06451612903223,103.03763440860214,0.1720430107526881,0.2150537634408602,2.71,1
59,59.0,0,0.0,17.0,0.0,0.0,empty,0.0,0.0,18.0,SM,0.0513824336230754,0.1010330468416214,0.7653355598449707,0.0048691406846046,0.0549191422760486,0.0052734217606484,0.0171873290091753,0.0919704213738441,0.8628164529800415,0.0452130921185016,3.6666666666666665,2.8952941176470586,0.609,0.74,0.439,0.4077142857142857,0.594,0.265,105.640259182,59,Hanov got out of his carriage and walked at the side of the road in his long overcoat.,371.1340206185567,1024.3298969072166,446.9381443298969,0.7422680412371134,0.9278350515463918,2.71,1
60,60.0,0,0.0,17.0,0.0,0.0,empty,0.0,0.0,3.0,SM,0.0333524085581302,0.5018562078475952,0.0078313574194908,0.0056434324942529,0.3730741143226623,0.0319582298398017,0.0462843403220176,0.0086264675483107,0.1145904138684272,0.8767832517623901,2.333333333333333,3.3633333333333333,0.5800000000000001,0.67,0.49,0.49,0.74,0.24,18.919012664,60,He was hot.,51.14018691588786,149.8317757009346,67.30724299065422,0.1121495327102803,0.1401869158878504,2.71,1
61,61.0,0,0.0,17.0,0.0,0.0,empty,0.0,0.0,3.0,SM,0.0926509425044059,0.0693366304039955,0.0158684980124235,0.0058758677914738,0.0139544578269124,0.0107381241396069,0.7915754914283752,0.0657425969839096,0.3910029232501983,0.5432543158531189,3.0,2.736666666666667,0.656,0.656,0.656,0.404,0.404,0.404,19.350338653,61,"""What a road!""",30.93333333333333,116.6,82.44444444444444,0.0333333333333333,0.0999999999999999,2.71,1
62,62.0,0,0.0,17.0,0.0,0.0,empty,0.0,0.0,5.0,SM,0.0191852375864982,0.0231139026582241,0.0018547150539234,0.7274700999259949,0.171500951051712,0.0161795038729906,0.0406956262886524,0.0195676945149898,0.4329487085342407,0.5474835634231567,3.6,2.848,0.7755,0.98,0.571,0.4745,0.639,0.31,30.919111425,62,"he said, and laughed again.",20.886075949367086,79.1139240506329,161.07594936708858,0.4205033763044813,0.0632911392405063,2.71,1
64,64.0,0,0.0,17.0,0.0,0.0,empty,0.0,0.0,12.0,SM,0.3687841296195984,0.4066643416881561,0.021927885711193,0.0069036451168358,0.1655485779047012,0.0284131150692701,0.0017581641441211,0.4860707521438598,0.4796305894851684,0.0342987030744552,4.666666666666667,2.623,0.558,0.755,0.281,0.54325,0.77,0.31,61.695747639,64,"""Nobody obliges you to drive about in such weather,"" said Semyon surlily.",23.76,1624.56,301.8,1.0092081031307552,0.12,2.71,1
65,65.0,0,0.0,17.0,0.0,0.0,empty,0.0,0.0,5.0,SM,0.10723178088665,0.156210571527481,0.0776125416159629,0.0048282025381922,0.4962580502033233,0.1539395898580551,0.0039192861877381,0.2415966540575027,0.6970657110214233,0.061337687075138,3.8,2.794,0.729,0.854,0.604,0.2725,0.275,0.27,31.753674546,65,"""You should stay at home.""",10.421052631578949,712.5263157894736,132.36842105263156,0.4205033763044813,0.0526315789473684,2.71,1
66,66.0,0,0.0,17.0,0.0,0.0,empty,0.0,0.0,6.0,SM,0.0017454857006669,0.0077927089296281,0.0017007210990414,0.0015048936475068,0.0079785771667957,0.97757488489151,0.0017027489375323,0.5511756539344788,0.4089602530002594,0.0398641191422939,4.0,3.1983333333333337,0.63625,0.854,0.194,0.22725,0.279,0.12,29.122118791,66,"""I am dull at home, grandfather.",8.485714285714286,580.1999999999999,107.78571428571428,0.5046040515653776,0.0428571428571428,2.71,1
68,68.0,1,0.7282051282051282,17.0,0.0,0.0,empty,0.0,0.0,35.0,SM,0.0067429412156343,0.5187327861785889,0.0275782719254493,0.0857383906841278,0.1567238271236419,0.1998101472854614,0.0046737021766602,0.6076748371124268,0.3562967479228973,0.0360284335911273,4.142857142857143,2.476470588235294,0.535923076923077,0.906,0.042,0.4579230769230769,0.87,0.24,197.53188109,68,"Beside old Semyon he looked graceful and vigorous, but yet in his walk there was something just perceptible which betrayed in him a being already touched by decay, weak, and on the road to ruin.",38.28729281767956,2617.845303867404,486.3259668508287,2.943523634131369,0.1933701657458563,2.71,1
69,69.0,0,0.0,17.0,0.0,0.0,empty,0.0,0.0,13.0,SM,0.0036609868984669,0.9336817860603333,0.0176080260425806,0.001833357149735,0.0316864773631095,0.0048128091730177,0.0067165773361921,0.1560687720775604,0.7783725261688232,0.0655587092041969,3.230769230769231,2.2638461538461536,0.60225,0.786,0.459,0.298,0.4,0.182,80.632152372,69,And all at once there was a whiff of spirits in the wood.,7.722772277227722,866.2376237623763,165.3960396039604,1.0933087783916515,0.0643564356435643,2.71,1
